Nodo,Individuo,Ruta,Segmento,Tiempo viaje,Costo viaje,Tiempo atencion,Costo atencion,Tasa fallo,Demanda
220,0,0,0,11.0872,472.978,0.0955,416.542,0.04,1
2130,0,0,0,11.0724,392.48
215,0,0,0,11.0675,358.782
205,0,0,0,11.0436,204.484
196,0,0,0,11.0305,119.897
195,0,0,0,11.0279,100.335
64,0,0,0,11.01,0
710,0,0,1,11.2404,1198.14,0.0443333,193.369,0.36,2
223,0,0,1,11.2229,1104.91
224,0,0,1,11.2088,1031.05
222,0,0,1,11.193,945.57
220,0,0,1,11.1827,889.52
455,0,0,2,11.3438,1774.06,0.0408333,178.103,0.03,3
454,0,0,2,11.341,1758.44
457,0,0,2,11.3343,1704.48
456,0,0,2,11.3291,1675.03
458,0,0,2,11.3196,1613.89
459,0,0,2,11.3137,1568.78
1543,0,0,2,11.3044,1506.55
710,0,0,2,11.2847,1391.51
603,0,0,3,11.475,2516.24,0.109,475.425,0.32,4
604,0,0,3,11.4708,2493.1
596,0,0,3,11.4706,2492.13
595,0,0,3,11.4652,2461.72
605,0,0,3,11.464,2453.73
529,0,0,3,11.4468,2353.71
726,0,0,3,11.4309,2252.51
714,0,0,3,11.4307,2250.62
1543,0,0,3,11.4259,2220.1
459,0,0,3,11.4156,2156.7
458,0,0,3,11.4091,2111.44
456,0,0,3,11.4,2050.65
457,0,0,3,11.3946,2020.43
454,0,0,3,11.387,1966.47
455,0,0,3,11.3846,1952.16
1108,0,0,4,11.7762,3990.79,0.0935,407.819,0.09,5
1109,0,0,4,11.7718,3968.11
1113,0,0,4,11.765,3933.96
1847,0,0,4,11.7515,3866.44
1086,0,0,4,11.7479,3846.41
1087,0,0,4,11.7334,3773.22
1090,0,0,4,11.7247,3728.06
1076,0,0,4,11.6985,3601.08
1074,0,0,4,11.6944,3579.96
1077,0,0,4,11.6848,3529.14
1080,0,0,4,11.6713,3461.94
1079,0,0,4,11.6647,3427.48
1061,0,0,4,11.6605,3406.2
1063,0,0,4,11.6569,3388.03
1062,0,0,4,11.6559,3380.95
2159,0,0,4,11.6556,3379.84
1045,0,0,4,11.6549,3376.69
1012,0,0,4,11.6477,3335.7
1014,0,0,4,11.6472,3332.84
989,0,0,4,11.6361,3274.53
990,0,0,4,11.6261,3224.27
991,0,0,4,11.6235,3211.92
706,0,0,4,11.6165,3172.46
704,0,0,4,11.6138,3159.68
2179,0,0,4,11.6136,3158.82
662,0,0,4,11.6074,3129.17
602,0,0,4,11.5961,3060.9
604,0,0,4,11.5935,3044.1
596,0,0,4,11.5934,3043.13
595,0,0,4,11.5879,3012.72
603,0,0,4,11.584,2991.67
1304,0,0,5,11.9992,5081.23,0.0428333,186.826,0.12,6
952,0,0,5,11.9748,4948.24
953,0,0,5,11.9641,4893.46
2023,0,0,5,11.9632,4889.36
2108,0,0,5,11.9468,4804.15
1794,0,0,5,11.9397,4768.39
2106,0,0,5,11.9245,4689.02
2039,0,0,5,11.9068,4595.49
1106,0,0,5,11.8972,4543.54
2035,0,0,5,11.883,4469.49
1108,0,0,5,11.8697,4398.6
895,0,0,6,12.1981,6068.38,0.0435,189.734,0.02,7
907,0,0,6,12.1824,5991.05
908,0,0,6,12.1733,5945.57
2014,0,0,6,12.1727,5942.89
2017,0,0,6,12.1716,5937.2
2170,0,0,6,12.1688,5923.01
1738,0,0,6,12.1514,5836.08
1737,0,0,6,12.1447,5802.3
936,0,0,6,12.1295,5723.39
933,0,0,6,12.1289,5720.45
934,0,0,6,12.1234,5682.8
935,0,0,6,12.1229,5680.19
2020,0,0,6,12.1118,5623.21
1787,0,0,6,12.0922,5526.06
1788,0,0,6,12.0914,5522.36
1789,0,0,6,12.08,5465.37
952,0,0,6,12.0711,5420.92
1304,0,0,6,12.042,5268.05
64,0,0,7,12.6024,8376.44,0,0,0
195,0,0,7,12.5733,8228.06
196,0,0,7,12.5705,8208.47
205,0,0,7,12.556,8122.02
215,0,0,7,12.5305,7965.64
225,0,0,7,12.5045,7762.43
715,0,0,7,12.473,7586.76
714,0,0,7,12.469,7562.6
726,0,0,7,12.4688,7560.75
529,0,0,7,12.4547,7461.1
605,0,0,7,12.4398,7364.43
603,0,0,7,12.4335,7331.35
604,0,0,7,12.4296,7309.49
596,0,0,7,12.4294,7308.52
580,0,0,7,12.4178,7244
574,0,0,7,12.3964,7132.88
573,0,0,7,12.3868,7079.08
564,0,0,7,12.3793,7038.82
557,0,0,7,12.3745,7007.75
561,0,0,7,12.368,6961.31
628,0,0,7,12.3638,6936.17
609,0,0,7,12.3521,6860.87
423,0,0,7,12.3462,6804.55
419,0,0,7,12.3394,6766.98
420,0,0,7,12.3334,6730.95
421,0,0,7,12.3288,6703.46
417,0,0,7,12.3238,6676.74
1989,0,0,7,12.3054,6582.53
2011,0,0,7,12.2861,6482.82
891,0,0,7,12.2641,6368.36
893,0,0,7,12.2581,6337.49
894,0,0,7,12.2528,6312.75
895,0,0,7,12.2416,6258.12
1302,0,1,0,13.9642,2766.91,0.035,152.659,0.22,1
949,0,1,0,13.9412,2642.85
2025,0,1,0,13.9377,2625.39
1598,0,1,0,13.9344,2606.63
948,0,1,0,13.9295,2579.61
928,0,1,0,13.9191,2522.31
929,0,1,0,13.8989,2416.19
2019,0,1,0,13.8985,2414.21
2157,0,1,0,13.8724,2290.85
905,0,1,0,13.8355,2102.44
889,0,1,0,13.8262,2054.31
890,0,1,0,13.8196,2018.4
2013,0,1,0,13.8001,1915.19
1988,0,1,0,13.7825,1821.32
417,0,1,0,13.762,1716.71
